ticket_id,member_id,received_date,subject,body
T0001,M00017,2026-05-09,Didn't love this month's book,"Hi, I picked Bright Hollow this month and I just couldn't get into it - the pacing was so slow I gave up around chapter 6. I read the description on the site and it sounded like exactly my kind of thing but it really wasn't. Is the reader's guarantee something I can use here? I've been a member for almost two years and this is the first one that hasn't worked for me. Thanks!"
T0002,M00045,2026-05-10,Reader's Guarantee request,"Hi there, requesting the reader's guarantee for The Lantern Room please. I know I've used it a couple times recently but honestly I think I might be in a reading slump because none of these have been clicking for me. Thanks."
T0003,M00095,2026-05-10,Another book that didn't work,Hey - I know I just used the guarantee earlier this month but I picked up A Year of Small Birds and a friend recommended The Memory Theatre after. The Memory Theatre was a real miss for me. Any way to do another request? I feel bad asking but I'm trying to be honest about what I'm enjoying.
T0004,M00073,2026-05-10,reader guarantee,hi i'd like to use the readers guarantee on my may book please. the description made it sound like a literary thriller but it was much more of a slow character study and not what i was expecting at all. thanks!
T0005,M00061,2026-05-08,Disappointed again,I want to use the reader's guarantee for The Astronomer's Wife. I know your records will show I've requested this a few times but the curation has just not been working for me this past year. I am giving honest feedback every time. I love BOTM in principle but the books keep missing for me. Can we figure something out?
T0006,M00002,2026-05-11,Quick question about guarantee,"Hi! I just got my second box and I really didn't enjoy this month's pick. I saw something on Instagram about a reader's guarantee - is that a real thing and how do I use it? Sorry to ask, still new!"
T0007,M00006,2026-05-09,Book arrived damaged,"Hello, my May book arrived with the cover bent and several pages dog-eared like it had been read before. I'd like a replacement copy if possible. I haven't actually read it yet so it's not about the content. Thanks for your help."
T0008,M00204,2026-05-08,Reader's guarantee request,"Hi, requesting the reader's guarantee for Bright Hollow. The writing style just didn't work for me. Let me know if you need anything else from me."
T0009,M00499,2026-05-10,Reader's guarantee,Hi - I'd like to use the reader's guarantee for this month's pick. I think the last time I did this was years ago. Thanks!
T0010,M00003,2026-05-09,Coupon request,"Hi, requesting the reader's guarantee for The Glass Orchard - this month's pick. Not what I was hoping for. Thanks."
T0011,M00149,2026-05-11,Wrong book in box,"Hi, the box I received this month has the wrong book in it - I selected The Lantern Room but received Salt and Honey. Can you send me what I actually ordered? Don't want to use the guarantee, just need the correct book. Thanks."
T0012,M00073,2026-05-10,Another request,"Hi, I requested the guarantee earlier (April book) but I want to add this month too - The Cartographer's Daughter wasn't for me either. Hoping you can do both?"
T0013,M00087,2026-05-10,Guarantee please,Reader's guarantee for Soft Country. Did not finish.
T0014,M00020,2026-05-08,Cancellation question,"Hi, I've been an annual member for over a year and I'm thinking about not renewing. The last couple boxes haven't been great. Before I cancel - is there anything you can do? Maybe credit for a book that didn't work?"
T0015,M00179,2026-05-11,This month's book,Hi! Wanted to use my guarantee for this month - I picked Counting Backwards from Ten and it was way more graphic than I expected. Thanks!
T0016,M00141,2026-05-09,Question about my account,"Hi, just wondering when I can use the reader's guarantee again? I used it last month and I want to make sure I'm following the rules. Also can you tell me how many I've used total? Thanks!"
T0017,M00045,2026-05-11,Another miss,"Hey, following up on my earlier email - I think the issue might be that I'm getting recommended too much literary fiction. Can I use the guarantee for The Inheritance of Wings too? I really am being honest, the curation just hasn't matched my taste."
T0018,M00032,2026-05-09,Reader's guarantee,I'm requesting the reader's guarantee on my May box. The book was Other People's Weddings. I know I've used the guarantee before but I don't think there should be a limit on getting a book I actually want to read. I'm paying for the membership.
T0019,M00148,2026-05-10,Re-activating?,"Hi, I cancelled my membership earlier this year and I'm thinking about coming back. Before I do, just wondering - when I do reactivate, does my reader's guarantee history reset, or does it carry over from before? Trying to plan. Thanks."
T0020,M00499,2026-05-11,Wrong charge,"Hi, I see a charge on my card from BOTM but I thought I had paused my membership last month. Can you check what happened? I don't want to use the guarantee or anything, I just want to make sure I'm not being double-billed."
